0,1
0.0,0.0
7.495074679755924,1.0
10.199392591686912,2.0
12.017527569542793,3.0
17.591994802305383,4.0
17.950989936950897,5.0
28.633688386665707,6.0
37.87836218056394,7.0
48.129540821403275,8.0
54.745399009871484,9.0
57.77557817378841,10.0
75.13740476737796,11.0
88.8960222086183,12.0
96.34926428127545,13.0
99.9926606149983,14.0
103.90649624577433,15.0
107.96803450257669,16.0
117.45880595694388,17.0
152.1073199579833,18.0
165.2724353563837,19.0
167.3542489268828,20.0
169.3183763138686,21.0
172.8258564741749,22.0
177.46972510650352,23.0
178.97810320361882,24.0
179.30019377922227,25.0
199.2159576132326,26.0
203.17427177567222,27.0
204.18914166226617,28.0
212.49413617509373,29.0
226.33881723125197,30.0
228.67710193110773,31.0
235.81817684441637,32.0
254.72911525296965,33.0
254.95869388723426,34.0
255.4667065187548,35.0
260.9270309537484,36.0
260.985731601209,37.0
263.33769871505814,38.0
264.9182330378181,39.0
274.3853557449039,40.0
274.52640613843636,41.0
279.31268891862527,42.0
283.52545639801923,43.0
284.7962112477573,44.0
286.4425391506295,45.0
286.9441033821982,46.0
288.3660872447807,47.0
288.9997131064147,48.0
292.4625809781095,49.0
292.88508641402444,50.0
306.1473271514727,51.0
307.58081353662374,52.0
310.67605255489286,53.0
310.92122173772583,54.0
311.154982907516,55.0
318.995474548578,56.0
326.9601619601273,57.0
329.2968021798032,58.0
341.32011350249275,59.0
348.20927831024034,60.0
355.62916902649533,61.0
361.47264421489984,62.0
369.0827926627677,63.0
375.8431467729243,64.0
376.88495120764924,65.0
389.5463571142497,66.0
394.6807324362263,67.0
398.76851052373786,68.0
400.9199593709457,69.0
403.5010208327527,70.0
414.97362191699295,71.0
418.94636021788085,72.0
423.0174312663864,73.0
428.3319499970045,74.0
451.6475350078119,75.0
458.15237897707925,76.0
458.8957034079306,77.0
480.43990107494943,78.0
482.03699192408504,79.0
482.358708355232,80.0
492.3206602424973,81.0
497.21248855363,82.0
500.42710772630795,83.0
510.5037379473188,84.0
516.7904381458172,85.0
526.1617400447439,86.0
532.8775190449984,87.0
538.6744729411329,88.0
540.6223267280506,89.0
545.652744458957,90.0
547.2320301011518,91.0
548.2347222991308,92.0
552.7157083246022,93.0
585.2114822915229,94.0
585.8297018811189,95.0
593.1513486578687,96.0
610.337361919868,97.0
615.3276229180459,98.0
619.7977130360274,99.0
628.2887705332005,100.0
631.1648062103783,101.0
632.9243994567024,102.0
635.8518748531179,103.0
636.6155874458807,104.0
638.8672622923045,105.0
639.3570913791523,106.0
646.5342978405,107.0
647.5902011395191,108.0
657.7117979518883,109.0
682.8134708663722,110.0
686.582040343959,111.0
687.1580155932281,112.0
688.7496088224034,113.0
697.1254934288323,114.0
713.1804878756193,115.0
