flyer_id,arrival_ts,enter_checkin_ts,exit_checkin_ts,enter_bags_ts,exit_bags_ts,enter_tsa_ts,exit_tsa_ts,enter_food_ts,exit_food_ts,exit_airport
79,481.8093038785561,481.8093038785561,482.03699192408504,482.03699192408504,482.7425313898606,482.7425313898606,487.0513301731043,487.0513301731043,488.4205191499147,502.6417378286205
80,482.01997707287603,482.01997707287603,482.358708355232,482.358708355232,483.6572661294045,483.6572661294045,487.90152773446226,,,503.09125552088983
81,492.1105710623542,492.1105710623542,492.3206602424973,492.3206602424973,493.6534043296887,493.6534043296887,497.6816844643804,497.6816844643804,498.8900747214461,512.6920401804143
82,496.98378331752303,496.98378331752303,497.21248855363,497.21248855363,497.3808735148535,497.3808735148535,501.607216368937,,,516.6736090748635
83,500.1518783599552,500.1518783599552,500.42710772630795,500.42710772630795,501.9781637839261,501.9781637839261,505.90150103107226,505.90150103107226,506.7482097929849,521.2309822993444
84,510.16078165570485,510.16078165570485,510.5037379473188,510.5037379473188,510.9713518543053,510.9713518543053,514.5018272364238,514.5018272364238,515.6651521462949,530.1485464946396
85,516.5720871317607,516.5720871317607,516.7904381458172,516.7904381458172,517.4320212962587,517.4320212962587,521.3789285911082,,,538.4982617748266
86,525.9036810957109,525.9036810957109,526.1617400447439,526.1617400447439,526.3770071134534,526.3770071134534,530.4321945688009,,,546.2922635289871
87,532.5970031405519,532.5970031405519,532.8775190449984,532.8775190449984,533.2975519195111,533.2975519195111,537.1254428713114,537.1254428713114,538.3111395326564,553.5047539602383
88,538.3817750174298,538.3817750174298,538.6744729411329,538.6744729411329,539.1782730715953,539.1782730715953,543.023567937277,,,558.9059212100897
89,540.4672568378982,540.4672568378982,540.6223267280506,540.6223267280506,542.1187579782576,542.1187579782576,546.3666861108592,,,561.4916819360182
90,545.3375433496482,545.3375433496482,545.652744458957,545.652744458957,546.6252541586418,546.6252541586418,550.6923192949174,550.6923192949174,551.7648966761531,565.9159398064515
91,546.8984312678854,546.8984312678854,547.2320301011518,547.2320301011518,547.2461142382662,547.2461142382662,550.9809361660783,,,566.5709404738528
92,547.9412641180638,547.9412641180638,548.2347222991308,548.2347222991308,549.3235997943927,549.3235997943927,552.7482696707349,552.7482696707349,554.1893708293663,568.5372771879685
93,552.4564888330171,552.4564888330171,552.7157083246022,552.7157083246022,552.912778278348,552.912778278348,556.8802542733341,,,572.1063941215309
95,585.5233693995666,585.5233693995666,585.8297018811189,585.8297018811189,585.8757101203561,585.8757101203561,589.5436666381074,,,605.0645268923404
94,584.9076565475315,584.9076565475315,585.2114822915229,585.2114822915229,585.7922475035093,585.7922475035093,589.8149836808317,589.8149836808317,590.9630421609334,605.5427049583117
96,592.8970054968685,592.8970054968685,593.1513486578687,593.1513486578687,593.2520453369503,593.2520453369503,597.037080991793,597.037080991793,598.016248702712,612.2371123920152
97,610.0914582243006,610.0914582243006,610.337361919868,610.337361919868,613.0825145273199,613.0825145273199,616.6502103511422,,,632.4253279014276
98,615.0788263888029,615.0788263888029,615.3276229180459,615.3276229180459,619.8439076961814,619.8439076961814,624.4851660437716,624.4851660437716,625.0002728584772,639.9774313805412
99,619.6292603589633,619.6292603589633,619.7977130360274,619.7977130360274,621.7008987459262,621.7008987459262,625.802661358973,625.802661358973,626.484466044134,640.8302085572742
100,627.9359415635096,627.9359415635096,628.2887705332005,628.2887705332005,628.555613805438,628.555613805438,632.2372002492102,632.2372002492102,633.3185700134975,647.8933649364084
102,632.7357894848387,632.7357894848387,632.9243994567024,632.9243994567024,633.681304922531,633.681304922531,637.9291752176323,,,652.9894112842925
101,630.9354056594058,630.9354056594058,631.1648062103783,631.1648062103783,632.1073034527171,632.1073034527171,635.8618154284171,635.8618154284171,637.3043288800881,653.4181156467718
103,635.4997637986081,635.4997637986081,635.8518748531179,635.8518748531179,636.604325293322,636.604325293322,640.6117379413496,,,655.7322645563812
104,636.3897897638003,636.3897897638003,636.6155874458807,636.6155874458807,639.0127509779519,639.0127509779519,642.6969976466859,,,658.7442325934737
106,639.0511257942404,639.0511257942404,639.3570913791523,639.3570913791523,640.1676145956816,640.1676145956816,643.5384589469612,643.5384589469612,644.6006530218428,659.0038481979537
105,638.6000105114763,638.6000105114763,638.8672622923045,638.8672622923045,640.1085766428914,640.1085766428914,643.6602694551025,643.6602694551025,644.5016869430401,660.0411988584748
108,647.2601621644371,647.2601621644371,647.5902011395191,647.5902011395191,648.2494549255811,648.2494549255811,651.613459159698,,,666.8936035719753
107,646.2932232592957,646.2932232592957,646.5342978405,646.5342978405,648.2377946787952,648.2377946787952,651.966981332766,651.966981332766,653.2715391186279,667.0992131211281
109,657.5351471449969,657.5351471449969,657.7117979518883,657.7117979518883,660.1891441091996,660.1891441091996,664.415568343819,664.415568343819,665.9430867912358,679.6911795451223
110,682.6475066271956,682.6475066271956,682.8134708663722,682.8134708663722,683.2046452276378,683.2046452276378,687.7556962053777,687.7556962053777,688.697971992807,704.255676819286
112,686.8528793693218,686.8528793693218,687.1580155932281,687.1580155932281,687.6350281673649,687.6350281673649,690.8813529518474,690.8813529518474,691.8868738697361,706.3318128192411
113,688.6145764720212,688.6145764720212,688.7496088224034,688.7496088224034,688.9907094499273,688.9907094499273,692.0724974461252,692.0724974461252,692.71761935966,707.2471141188744
111,686.3598174936149,686.3598174936149,686.582040343959,686.582040343959,689.8313895366989,689.8313895366989,693.477175426073,,,708.9850519953445
114,696.9010343656719,696.9010343656719,697.1254934288323,697.1254934288323,697.6235921102491,697.6235921102491,702.800062499206,,,718.0652175569987
115,712.9057563930844,712.9057563930844,713.1804878756193,713.1804878756193,713.4092447443236,713.4092447443236,717.5540238732896,717.5540238732896,718.1707152896245,732.6126011084087
